iter	Passed	Remaining
769	1244	371
770	1245	369
771	1247	368
772	1249	366
773	1250	365
774	1253	363
775	1254	362
776	1256	360
777	1257	358
778	1258	357
779	1260	355
780	1261	353
781	1263	352
782	1264	350
783	1266	348
784	1268	347
785	1269	345
786	1270	343
787	1272	342
788	1273	340
789	1275	339
790	1276	337
791	1278	335
792	1280	334
793	1281	332
794	1283	330
795	1284	329
796	1285	327
797	1287	325
798	1288	324
799	1290	322
800	1292	320
801	1293	319
802	1294	317
803	1295	315
804	1297	314
805	1298	312
806	1299	310
807	1301	309
808	1302	307
809	1304	305
810	1306	304
811	1307	302
812	1309	301
813	1310	299
814	1311	297
815	1313	296
816	1314	294
817	1316	292
818	1317	291
819	1319	289
820	1321	288
821	1323	286
822	1324	284
823	1326	283
824	1327	281
825	1329	280
826	1330	278
827	1332	276
828	1334	275
829	1335	273
830	1337	271
831	1338	270
832	1340	268
833	1341	266
834	1342	265
835	1344	263
836	1346	262
837	1349	260
838	1350	259
839	1352	257
840	1353	255
841	1355	254
842	1356	252
843	1357	250
844	1359	249
845	1361	247
846	1364	246
847	1366	244
848	1368	243
849	1369	241
850	1371	240
851	1372	238
852	1374	236
853	1376	235
854	1378	233
855	1379	232
856	1381	230
857	1382	228
858	1383	227
859	1385	225
860	1386	223
861	1388	222
862	1390	220
863	1392	219
864	1393	217
865	1395	215
866	1397	214
867	1398	212
868	1400	211
869	1402	209
870	1403	207
871	1405	206
872	1407	204
873	1409	203
874	1410	201
875	1412	199
876	1413	198
877	1415	196
878	1417	195
879	1418	193
880	1420	191
881	1421	190
882	1423	188
883	1424	186
884	1426	185
885	1428	183
886	1429	182
887	1431	180
888	1432	178
889	1434	177
890	1436	175
891	1437	174
892	1439	172
893	1441	170
894	1442	169
895	1444	167
896	1445	165
897	1447	164
898	1448	162
899	1451	161
900	1452	159
901	1454	158
902	1455	156
903	1458	154
904	1459	153
905	1460	151
906	1462	149
907	1464	148
908	1465	146
909	1466	145
910	1468	143
911	1469	141
912	1471	140
913	1472	138
914	1474	136
915	1475	135
916	1476	133
917	1478	132
918	1480	130
919	1481	128
920	1482	127
921	1485	125
922	1486	124
923	1488	122
924	1490	120
925	1491	119
926	1493	117
927	1494	115
928	1496	114
929	1497	112
930	1499	111
931	1500	109
932	1502	107
933	1503	106
934	1505	104
935	1506	103
936	1508	101
937	1509	99
938	1510	98
939	1512	96
940	1514	94
941	1515	93
942	1517	91
943	1518	90
944	1519	88
945	1521	86
946	1522	85
947	1524	83
